Well_Name,Depth,GR,RESD,RESS,RHOB,NEUTRON,Vshale,PHIE,Sw,PERM
Well-01,2190,123.4375,5.8163,5.297,1.8366,0.4979,0.8898,0.0001,1,0
Well-01,2190.5,95.1875,5.9865,5.2071,1.8649,0.5584,0.4875,0.0001,1,0
Well-01,2191,75.4375,5.7865,5.4365,1.9648,0.4347,0.3585,0.0001,1,0
Well-01,2191.5,57.4375,5.3791,5.8482,2.1284,0.2779,0.2464,0.0001,1,0
Well-01,2192,47.0625,5.3432,8.0496,2.4075,0.148,0.088,0.0001,1,0
Well-01,2192.5,39.875,5.4552,11.2892,2.613,0.1452,0.3097,0.0268,1,0.0031
Well-01,2193,43.4062,5.9254,12.983,2.6958,0.1882,0.5688,0.0001,1,0
Well-01,2193.5,47.2188,6.6602,13.7398,2.7118,0.2328,0.6868,0.001,1,0
Well-01,2194,49.8438,6.7166,11.1932,2.6895,0.2692,0.6496,0.0001,1,0
Well-01,2194.5,46.5,6.1685,8.3851,2.6639,0.3055,0.6705,0.0001,1,0
Well-01,2195,51.375,5.5929,6.9512,2.5766,0.3507,0.7813,0.0078,1,0
Well-01,2195.5,55.5,5.0465,6.1897,2.489,0.3896,0.875,0.0995,1,10.5559
Well-01,2196,55.5,4.7559,6.0568,2.413,0.3882,0.875,0.1154,1,26.1349
Well-01,2196.5,47.9688,4.6785,6.5764,2.3556,0.3476,0.6492,0.148,0.7802,118.6249
Well-01,2197,36.3125,4.7202,7.9463,2.3748,0.2928,0.4389,0.1499,0.5975,128.3277
Well-01,2197.5,29.2969,5.0207,10.1795,2.4069,0.256,0.2795,0.1461,0.4517,110.0541
Well-01,2198,27.6562,5.5908,14.3777,2.4353,0.2254,0.2422,0.1298,0.3531,53.4507
Well-01,2198.5,27.0156,6.3209,21.4601,2.4301,0.2054,0.2276,0.1264,0.3252,45.4377
Well-01,2199,28.375,7.3239,30.2307,2.4452,0.1859,0.2002,0.1174,0.3244,28.9024
Well-01,2199.5,25.4375,8.2244,35.4967,2.4715,0.1887,0.1918,0.1103,0.3304,19.8294
Well-01,2200,30.3906,8.7612,34.0796,2.4764,0.21,0.3043,0.1004,0.3889,11.1217
Well-01,2200.5,38.4688,8.6486,26.8397,2.4626,0.2343,0.389,0.1023,0.4404,12.4811
Well-01,2201,45.8438,7.8898,17.5785,2.4504,0.2438,0.4039,0.0001,1,17.3968
Well-01,2201.5,47.9688,6.4991,10.8027,2.3294,0.2546,0.4839,0.0001,1,0
